순번,상호,주소,전화번호,기준일,위도,경도
1,평화동물약국,경상북도 영천시 강변로 51 (금노동),054-331-7007,2025-11-07,35.96128924,128.92841429
2,계영약국,경상북도 영천시 신녕면 장수로 1681,054-337-8760,2025-11-07,36.04169826,128.78797247
3,현약국,경상북도 영천시 호국로 95 (야사동),054-332-7003,2025-11-07,35.97523772,128.94772999
4,소원약국,경상북도 영천시 호국로 93 (야사동),054-334-2111,2025-11-07,35.97502426,128.94749870
5,예약국,"경상북도 영천시 청솔길 23-6 (망정동, 청솔아파트)",054-333-6331,2025-11-07,35.98893064,128.95525124
6,중원약국,경상북도 영천시 완산로 52 (완산동),054-335-0217,2025-11-07,35.96481857,128.93923638
7,새영천약국,경상북도 영천시 시장로 59(완산동),054-331-8275,2025-11-07,35.96358334,128.93670765
8,영천삼화약국,"경상북도 영천시 오수1길 7, 삼화약국 (오수동)",054-331-8275,2025-11-07,35.95803605,128.91309542
9,온누리정약국,경상북도 영천시 오수1길 5(오수동),054-333-7541,2025-11-07,35.95832198,128.91297173
10,대학당약국,경상북도 영천시 시장로 57-1 (완산동),054-338-3330,2025-11-07,35.96367711,128.93658045
11,인제약국,경상북도 영천시 완산3길 12 (완산동),054-337-8760,2025-11-07,35.96524823,128.93955379
12,경동약국,"경상북도 영천시 금호읍 금호로 80-1, 경동약국",054-337-9989,2025-11-07,35.93068138,128.87057589
13,9988고은약국,"경상북도 영천시 시장로 96, 고은스퀘어 1층 (완산동)",054-332-3521,2025-11-07,35.96300171,128.94077274
14,새동산약국,경상북도 영천시 동부로 35 (야사동),054-332-3521,2025-11-07,35.97339243,128.94830893
15,영천심야약국,경상북도 영천시 삼산길 26 (문외동),054-927-2152,2025-11-07,35.97277865,128.93671683
16,영광약국,경상북도 영천시 시장로 66-1(완산동),054-337-1399,2025-11-07,35.96328434,128.93752631
17,영천포도약국,경상북도 영천시 시장로 89(완산동),054-331-5252,2025-11-07,35.96385843,128.94030605
18,조이약국,"경상북도 영천시 망정2길 213-7, 1층(망정동)",054-333-6759,2025-11-07,35.98283536,128.95165767
