순번,시설명,소재지,위도,경도
1,교대2리회관,영천시 금호읍 교대용대길 7-2,35.93375581,128.87162711
2,석섬리회관,영천시 금호읍 돌섬1길 13,35.94668732,128.88731582
3,대곡2리경로당,영천시 금호읍 대배길 50,35.89575918,128.92371918
4,신대리마을회관,영천시 금호읍 신대길 28,35.91035154,128.86835848
5,삼호2리마을회관,영천시 금호읍 대구대길 106,35.92141979,128.86996262
6,애련리마을회관,영천시 청통면 애련길 233,36.00330249,128.79848597
7,화남2리마을회관,영천시 신녕면 원낙길 98-4,36.07162817,128.75330259
8,완전1리회관,영천시 신녕면 장수로 1653-1,36.03938580,128.78822028
9,화서리마을회관,영천시 신녕면 화정길 25-2,36.09082381,128.72999795
10,연정2리경로당,영천시 신녕면 신정길 177,36.04478131,128.80716719
11,연계1리마을회관,영천시 화산면 연지길 120,36.02842060,128.84875878
12,연계2리마을회관,영천시 화산면 율전길 32-4,36.02070360,128.84569923
13,화산1리 (곽산)마을회관,영천시 화산면 곽산길 63,36.04475474,128.85217498
14,화산2리회관,영천시 화산면 효지길 98-14,36.04627070,128.86849245
15,삼부리마을회관,영천시 화산면 장수로 577-25,36.00226274,128.88335795
16,석촌리마을회관,영천시 화산면 석촌2길 60,36.00996999,128.87210061
17,부계리마을회관,영천시 화산면 부계길 115-4,36.00849344,128.86149164
18,부계리경로당,영천시 화산면 부계길 115-6,36.00827527,128.86157048
19,자천2리마을회관,영천시 화북면 자천5길 9-1,36.10902719,128.91885322
20,정각2리마을회관,영천시 화북면 태양길 44,36.12953818,128.98367032
21,사천1리마을회관,영천시 화남면 천문로 1212,36.03794081,128.91869372
22,선천2리경로당,영천시 화남면 선관길 11-14,36.05090342,128.89502917
23,삼창3리마을회관,영천시 화남면 한천길 52-9,36.06877633,128.89232241
24,온천리회관,영천시 화남면 온천길 46,36.08888256,128.86053866
25,월곡2리 새마을회관,영천시 화남면 월곡길 244,36.10081875,128.89376599
26,성곡리복지회관,영천시 자양면 포은로 1640,36.07748734,129.01888667
27,노항리마을회관,영천시 자양면 신방로 298,36.06545271,129.03809911
28,신방1리(신천)마을회관,영천시 자양면 신방로 565,36.06566009,129.06615560
29,용산리마을회관,영천시 자양면 원각길 55,36.09024621,129.03585531
30,도일리마을회관,영천시 자양면 도일길 31,36.11033811,129.08281630
31,보현복지회관,영천시 자양면 별빛로 1124,36.13458684,129.04074720
32,보현3리절골마을회관,영천시 자양면 사곡길 75,36.14470605,129.03101494
33,황강전원마을회관,영천시 임고면 황강전원길 39,36.02918545,128.99419780
34,사1리회관,영천시 임고면 사덕로 223,36.03429565,129.07000574
35,우항리회관,영천시 임고면 효자로 314,36.00787718,128.98940431
36,창상리부녀복지회관,영천시 고경면 효자로 158,35.99493033,128.98575789
37,대의리회관,영천시 고경면 거곡로 137-2,35.97022835,128.98320954
38,부리마을회관,영천시 고경면 추곡길 491,35.97283868,129.04612407
39,용전1리마을회관,영천시 고경면 추곡길 151,35.98854868,129.01691334
40,도암1리새마을회관,영천시 고경면 호국로 674-14,35.99385092,129.00625977
41,해선리마을회관,영천시 고경면 월천길 26-72,36.00118527,129.04470444
42,가수1리 마을회관,영천시 고경면 가징계길 14-9,36.00232294,129.08024033
43,삼포리마을회관,영천시 고경면 상계로 279,36.01466433,129.10380023
44,칠전리마을회관,영천시 고경면 칠전길 114,35.94977681,129.09356828
45,도유리마을회관,영천시 북안면 도유길 116,35.87512266,128.98363325
46,도천1리마을회관,영천시 북안면 연당길 1,35.89559620,129.01855236
47,임포1리마을회관,영천시 북안면 팔암길 14,35.91677282,129.00826960
48,반정1리마을회관,영천시 북안면 반정1길 34,35.93403250,128.99381717
49,구지리마을회관,영천시 대창면 용대로 804-1,35.85498743,128.89050318
50,강회 마을회관,영천시 대창면 강회2길 24,35.89210269,128.88681118
51,조교10통새마을회관,영천시 조흔달1길 36,35.97715895,128.96289272
52,오미1동마을회관,영천시 삼귀길 220,36.00073994,128.94173227
53,성내1동마을회관,영천시 나루터길 11,35.96175597,128.92445169
54,대전1동마을회관,영천시 대전길 121,35.98706355,128.91567314
55,화룡동새마을회관,영천시 음지길 44,35.97508600,128.91421494
56,쌍계동마을회관,영천시 쌍계길 77-2,35.96344486,128.90789820
57,서산동마을회관,영천시 삼산마을길 60,35.97862250,128.89881528
58,교촌동마을회관,영천시 향교길 15-3,35.96882461,128.92922240
59,완산2통마을회관,영천시 안완산길 81,35.96020901,128.95281847
60,범어9통(진옥)회관,영천시 범어2길 3-3,35.94380702,128.95969432
61,도남13통회관,영천시 칠백로 841,35.93508286,128.93614610
