연번,시 설 명,소재지,연 락 처,시설장,인원수,위도,경도
1,장애인종합복지관,경상북도 영천시 보목2길 10(야사동),054-333-3535,권순종,350,35.97112856,128.94124273
2,영천팔레스,경상북도 영천시 북안면 신평탑골길 16-8(도천리),054-332-2841,강진순,57,35.89260497,129.01526194
3,마야예림원,경상북도 영천시 북안면 고지길 42-5(고지리),054-331-0073,박근혜,30,35.90663518,129.01194071
4,희망의둥지,경상북도 영천시 북안면 돌할매로 505(관리),054-338-4111,최중헌,18,35.94123364,129.04815619
5,영천파파야,경상북도 영천시 북안면 신평탑골길 16-8(도천리),054-333-3088,이정하,30,35.89260497,129.01526194
6,중증장애인자립지원센터,경상북도 영천시 하이브리드로 611(채신동),054-336-9700,권순종,20,,
7,장애인재가복지센터,경상북도 영천시 보목2길 10(야사동),054-333-3535,권순종,50,35.97112856,128.94124273
8,장애인주간보호센터,경상북도 영천시 보목2길 10(야사동),054-333-3535,권순종,12,35.97112856,128.94124273
9,장애인생활이동지원센터,경상북도 영천시 천문로 210-7(금노동),054-338-7787,노승환,100,35.95714416,128.93275880
10,수어통역센터,경상북도 영천시 완산6길 19-6(완산동),054-331-0350,서동일,250,35.96696616,128.93990274
