순번,상호,주소(도로명),전화번호,위도,경도
1,대구약국,경상북도 영천시 대창면 금창로 692-1,054-335-4035,35.874812,128.89717
2,정약국,경상북도 영천시 오수1길 5 (오수동),054-334-0793,35.958341,128.913024
3,혜동약국,경상북도 영천시 호국로 73,054-333-9032,35.974214,128.945538
4,소원약국,경상북도 영천시 호국로 93 (야사동),054-332-7003,35.975036,128.947478
5,서강약국,경상북도 영천시 금호읍 금호로 129,054-336-3737,35.932094,128.875741
6,대학당약국,경상북도 영천시 시장로 57-1 (완산동),054-333-7541,35.963703,128.936544
7,장성약국,경상북도 영천시 완산로 64 (완산동),054-331-4969,35.965863,128.939286
8,온누리유명약국,경상북도 영천시 시장로 74-1 (완산동),054-334-4963,35.963328,128.938402
9,하나약국,경상북도 영천시 강변로 38 (금노동),054-332-1639,35.96076,128.926732
10,휘명동산약국,경상북도 영천시 신녕면 신화로 114-8,054-335-0217,36.045097,128.799694
11,새동산약국,경상북도 영천시 동부로 35 (야사동),054-332-3521,35.973399,128.948301
12,경동약국,경상북도 영천시 금호읍 금호로 80-1,054-337-8760,35.930681,128.870561
13,안도약국,경상북도 영천시 최무선로 353 (문외동),054-334-9933,35.970349,128.93721
14,고려약국,경상북도 영천시 시장로 51-1 (완산동),054-334-2341,35.963617,128.9361
15,영천약국,경상북도 영천시 오수1길 8 (오수동),054-331-5566,35.957938,128.912786
16,완산약국,경상북도 영천시 시장로 53 (완산동),054-331-0005,35.9636,128.9361
17,사랑약국,경상북도 영천시 완산로 70 (완산동),054-333-1999,35.966423,128.939148
18,새복약국,경상북도 영천시 시장3길 10-11 (완산동),054-333-8222,35.965093,128.938567
19,평화약국,경상북도 영천시 강변로 51 (금노동),054-331-7007,35.961252,128.9284
20,인제약국,경상북도 영천시 완산3길 12 (완산동),054-338-3330,35.965275,128.939534
21,조은약국,경상북도 영천시 금호읍 금호로 78,054-338-7525,35.930557,128.870316
22,장수약국,경상북도 영천시 충효로 148 (야사동),054-332-7575,35.976329,128.944743
23,강남약국,경상북도 영천시 강변로 47 (금노동),054-337-0127,35.96112,128.9279
24,새영천약국,경상북도 영천시 시장로 59 (완산동),054-333-0030,35.963657,128.93671
25,계영약국,경상북도 영천시 신녕면 장수로 1681,054-333-5787,36.041695,128.7879
26,굿모닝약국,경상북도 영천시 옛군청1길 34 (문내동),054-336-3949,35.96804,128.932826
27,화평당약국,경상북도 영천시 옛군청1길 27-1 (문내동),054-334-2155,35.968116,128.932383
28,중앙약국,경상북도 영천시 시장로 62-1(완산동),054-334-2575,35.96314,128.937081
29,현약국,경상북도 영천시 호국로 95(야사동),054-338-8131,35.975224,128.947724
30,청통동산약국,경상북도 영천시 청통면 금송로 1013,054-336-2091,35.994505,128.820112
31,선린약국,경상북도 영천시 완산로 58,054-331-6886,35.965259,128.939212
32,예약국,경상북도 영천시 청솔길 23-6 청솔아파트 상가 105호,054-334-2111,35.988341,128.955233
33,우리약국,경북 영천시 북안면 못안길 2-85,054-332-8584,35.915813,129.010512
34,중원약국,경북 영천시 완산로 52,054-333-6331,35.964827,128.939207
35,신세계약국,경북 영천시 시장로 70-1(완산동),054-333-2072,35.963287,128.937925
36,라온약국,경북 영천시 망정1길 200,054-334-7722,35.982584,128.95156
37,중앙약국,경북 영천시 금호읍 금호로 105-1,054-336-5566,35.931563,128.873264
38,제일약국,경상북도 영천시 시장로 47(완산동),054-334-2513,35.963577,128.935401
39,삼화약국,경상북도 영천시 오수1길 7 (오수동),054-331-8275,35.958016,128.913097
40,소망약국,경상북도 신녕면 장수로 1673,054-336-2271,36.040983,128.788056
41,진약국,경상북도 망정로 7(망정동),054-332-4142,35.976982,128.953322
42,수덕약국,"경상북도 완산로 68, 1층",054-338-8773,35.96638,128.93931
43,9988고은약국,"경상북도 시장로 96, 고은스퀘어 1층(완산동)",054-337-9989,35.963024,128.940332
44,영천심야약국,"경상북도 삼산길 26, 1층(문외동)",054-927-2152,35.972813,128.936675
45,조이약국,"경상북도 영천시 망정2길 213-7, 1층(망정동)",054-333-6759,35.982942,128.951708
46,영천포도약국,"경상북도 영천시 시장로 89, 1층 105호 (완산동)",054-331-5252,35.963885,128.940187
47,좋은우리약국,"경상북도 영천시 시장로 96, 고은스퀘어 1층 1077-1078호 (완산동)",054-927-3384,35.963017,128.940423
